language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Marshallese	mah	mah	mh	http://purl.obolibrary.org/obo/OMRSE_00000740	MAH
Southern Altai	alt	alt		http://purl.obolibrary.org/obo/OMRSE_00000520	ALT
Duala	dua	dua		http://purl.obolibrary.org/obo/OMRSE_00000600	DUA
Hmong	hmn	hmn		http://purl.obolibrary.org/obo/OMRSE_00000662	HMN
Manchu	mnc	mnc		http://purl.obolibrary.org/obo/OMRSE_00000757	MNC
Rarotongan	rar	rar		http://purl.obolibrary.org/obo/OMRSE_00000814	RAR
Ainu	ain	ain		http://purl.obolibrary.org/obo/OMRSE_00000515	AIN
Somali	som	som	so	http://purl.obolibrary.org/obo/OMRSE_00000847	SOM
Bosnian	bos	bos	bs	http://purl.obolibrary.org/obo/OMRSE_00000554	BOS
Belarusian	bel	bel	be	http://purl.obolibrary.org/obo/OMRSE_00000545	BEL
Nzima	nzi	nzi		http://purl.obolibrary.org/obo/OMRSE_00000789	NZI
Filipino	fil	fil		http://purl.obolibrary.org/obo/OMRSE_00000621	FIL
Bikol	bik	bik		http://purl.obolibrary.org/obo/OMRSE_00000549	BIK
Lezghian	lez	lez		http://purl.obolibrary.org/obo/OMRSE_00000723	LEZ
N'Ko	nqo	nqo		http://purl.obolibrary.org/obo/OMRSE_00000782	NQO
Corsican	cos	cos	co	http://purl.obolibrary.org/obo/OMRSE_00000584	COS
Tahitian	tah	tah	ty	http://purl.obolibrary.org/obo/OMRSE_00000863	TAH
Kalaallisut	kal	kal	kl	http://purl.obolibrary.org/obo/OMRSE_00000689	KAL
Tigre	tig	tig		http://purl.obolibrary.org/obo/OMRSE_00000873	TIG
Tetum	tet	tet		http://purl.obolibrary.org/obo/OMRSE_00000869	TET
Mi'kmaq	mic	mic		http://purl.obolibrary.org/obo/OMRSE_00000753	MIC
Kinyarwanda	kin	kin	rw	http://purl.obolibrary.org/obo/OMRSE_00000701	KIN
Crimean Tatar	crh	crh		http://purl.obolibrary.org/obo/OMRSE_00000586	CRH
Sandawe	sad	sad		http://purl.obolibrary.org/obo/OMRSE_00000821	SAD
Aragonese	arg	arg	an	http://purl.obolibrary.org/obo/OMRSE_00000526	ARG
Caddo	cad	cad		http://purl.obolibrary.org/obo/OMRSE_00000562	CAD
Beja	bej	bej		http://purl.obolibrary.org/obo/OMRSE_00000544	BEJ
Zuni	zun	zun		http://purl.obolibrary.org/obo/OMRSE_00000921	ZUN
Sundanese	sun	sun	su	http://purl.obolibrary.org/obo/OMRSE_00000856	SUN
Shan	shn	shn		http://purl.obolibrary.org/obo/OMRSE_00000832	SHN
Madurese	mad	mad		http://purl.obolibrary.org/obo/OMRSE_00000738	MAD
Limburgan	lim	lim	li	http://purl.obolibrary.org/obo/OMRSE_00000724	LIM
Dogri	doi	doi		http://purl.obolibrary.org/obo/OMRSE_00000598	DOI
Haida	hai	hai		http://purl.obolibrary.org/obo/OMRSE_00000653	HAI
Swedish	swe	swe	sv	http://purl.obolibrary.org/obo/OMRSE_00000860	SWE
Javanese	jav	jav	jv	http://purl.obolibrary.org/obo/OMRSE_00000681	JAV
Abkhazian	abk	abk	ab	http://purl.obolibrary.org/obo/OMRSE_00000508	ABK
Osage	osa	osa		http://purl.obolibrary.org/obo/OMRSE_00000794	OSA
Occitan (post 1500)	oci	oci	oc	http://purl.obolibrary.org/obo/OMRSE_00000790	OCI
Hawaiian	haw	haw		http://purl.obolibrary.org/obo/OMRSE_00000656	HAW
Bashkir	bak	bak	ba	http://purl.obolibrary.org/obo/OMRSE_00000538	BAK
Chinook jargon	chn	chn		http://purl.obolibrary.org/obo/OMRSE_00000574	CHN
Chuukese	chk	chk		http://purl.obolibrary.org/obo/OMRSE_00000572	CHK
Serer	srr	srr		http://purl.obolibrary.org/obo/OMRSE_00000853	SRR
Gujarati	guj	guj	gu	http://purl.obolibrary.org/obo/OMRSE_00000651	GUJ
Bokmål , Norwegian	nob	nob	nb	http://purl.obolibrary.org/obo/OMRSE_00000778	NOB
Polish	pol	pol	pl	http://purl.obolibrary.org/obo/OMRSE_00000806	POL
Guarani	grn	grn	gn	http://purl.obolibrary.org/obo/OMRSE_00000649	GRN
Judeo-Persian	jpr	jpr		http://purl.obolibrary.org/obo/OMRSE_00000684	JPR
Dutch	nld	dut	nl	http://purl.obolibrary.org/obo/OMRSE_00000602	NLD
Malagasy	mlg	mlg	mg	http://purl.obolibrary.org/obo/OMRSE_00000755	MLG
French	fra	fre	fr	http://purl.obolibrary.org/obo/OMRSE_00000624	FRA
Iban	iba	iba		http://purl.obolibrary.org/obo/OMRSE_00000668	IBA
Akan	aka	aka	ak	http://purl.obolibrary.org/obo/OMRSE_00000516	AKA
Persian	fas	per	fa	http://purl.obolibrary.org/obo/OMRSE_00000618	FAS
Neapolitan	nap	nap		http://purl.obolibrary.org/obo/OMRSE_00000766	NAP
Igbo	ibo	ibo	ig	http://purl.obolibrary.org/obo/OMRSE_00000669	IBO
Ukrainian	ukr	ukr	uk	http://purl.obolibrary.org/obo/OMRSE_00000895	UKR
Basque	eus	baq	eu	http://purl.obolibrary.org/obo/OMRSE_00000542	EUS
Vietnamese	vie	vie	vi	http://purl.obolibrary.org/obo/OMRSE_00000901	VIE
Asturian	ast	ast		http://purl.obolibrary.org/obo/OMRSE_00000532	AST
Pampanga	pam	pam		http://purl.obolibrary.org/obo/OMRSE_00000799	PAM
Umbundu	umb	umb		http://purl.obolibrary.org/obo/OMRSE_00000896	UMB
Indonesian	ind	ind	id	http://purl.obolibrary.org/obo/OMRSE_00000677	IND
Siksika	bla	bla		http://purl.obolibrary.org/obo/OMRSE_00000552	BLA
Tonga (Tonga Islands)	ton	ton	to	http://purl.obolibrary.org/obo/OMRSE_00000881	TON
Arabic	ara	ara	ar	http://purl.obolibrary.org/obo/OMRSE_00000524	ARA
Rapanui	rap	rap		http://purl.obolibrary.org/obo/OMRSE_00000813	RAP
Basa	bas	bas		http://purl.obolibrary.org/obo/OMRSE_00000543	BAS
Awadhi	awa	awa		http://purl.obolibrary.org/obo/OMRSE_00000535	AWA
Ewe	ewe	ewe	ee	http://purl.obolibrary.org/obo/OMRSE_00000614	EWE
Maori	mri	mao	mi	http://purl.obolibrary.org/obo/OMRSE_00000745	MRI
Sukuma	suk	suk		http://purl.obolibrary.org/obo/OMRSE_00000855	SUK
Tsonga	tso	tso	ts	http://purl.obolibrary.org/obo/OMRSE_00000885	TSO
Kikuyu	kik	kik	ki	http://purl.obolibrary.org/obo/OMRSE_00000700	KIK
Makasar	mak	mak		http://purl.obolibrary.org/obo/OMRSE_00000742	MAK
Niuean	niu	niu		http://purl.obolibrary.org/obo/OMRSE_00000776	NIU
Ga	gaa	gaa		http://purl.obolibrary.org/obo/OMRSE_00000632	GAA
Luba-Lulua	lua	lua		http://purl.obolibrary.org/obo/OMRSE_00000730	LUA
Washo	was	was		http://purl.obolibrary.org/obo/OMRSE_00000906	WAS
Masai	mas	mas		http://purl.obolibrary.org/obo/OMRSE_00000747	MAS
Bislama	bis	bis	bi	http://purl.obolibrary.org/obo/OMRSE_00000551	BIS
Danish	dan	dan	da	http://purl.obolibrary.org/obo/OMRSE_00000590	DAN
Lule Sami	smj	smj		http://purl.obolibrary.org/obo/OMRSE_00000839	SMJ
Lushai	lus	lus		http://purl.obolibrary.org/obo/OMRSE_00000736	LUS
Gorontalo	gor	gor		http://purl.obolibrary.org/obo/OMRSE_00000645	GOR
Slave (Athapascan)	den	den		http://purl.obolibrary.org/obo/OMRSE_00000593	DEN
Ossetian	oss	oss	os	http://purl.obolibrary.org/obo/OMRSE_00000795	OSS
Eastern Frisian	frs	frs		http://purl.obolibrary.org/obo/OMRSE_00000628	FRS
Navajo	nav	nav	nv	http://purl.obolibrary.org/obo/OMRSE_00000768	NAV
Estonian	est	est	et	http://purl.obolibrary.org/obo/OMRSE_00000613	EST
Mongo	lol	lol		http://purl.obolibrary.org/obo/OMRSE_00000727	LOL
Ingush	inh	inh		http://purl.obolibrary.org/obo/OMRSE_00000678	INH
Kutenai	kut	kut		http://purl.obolibrary.org/obo/OMRSE_00000716	KUT
